0,access_coarse_location,access_fine_location,access_mock_location,access_network_state,call_phone,camera,change_configuration,flashlight,get_tasks,internet,read_contacts,read_external_storage,read_phone_state,vibrate,wake_lock,write_external_storage
com.abi.android.builder.winterleadershipconference,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1
com.agenda.ifcmall,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1
com.appbuilder.u443161p697020,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1
com.kitapps.android.builder.abadrspring2014,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1
com.kitapps.android.builder.acispring2014convention,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.acmnationalstudentconference,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.affiliate_summit_east_2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.aia_risk_compliance_and_audit_conference_2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.aicannualforum2014,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1
com.kitapps.android.builder.artsoireeguide,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1
com.kitapps.android.builder.associationforcorporategrowthacgaz,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.avcaspringconference2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.bbgnbtsummit,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.cardioalex,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.conferenceindia,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1
com.kitapps.android.builder.discover_baltimore_2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.eamcongres,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.echobiolamissionsconference2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.ecvs_23rd_annual_scientific_meeting_2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.energystorageworldforum,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1
com.kitapps.android.builder.fortiqbr_latam_2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.gcca_assembly_of_committees_2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.hascannualmeeting,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.housecallsbaltimore,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1
com.kitapps.android.builder.housecallsdallas,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1
com.kitapps.android.builder.ihp_london_exchange_2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.internationalwatersummit,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1
com.kitapps.android.builder.islamicfinanceconference,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.liberate2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.macna_2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.mediaxatstanford,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.minnesotarecruiters,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.national_medical_association_annual_convention,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.ncacpasnotforprofitaccountingconference,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1
com.kitapps.android.builder.netfinance2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.newzealandruralgeneralpracticenetwork2014conference,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.nlndpconvention2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.oblceosymposiumappsponsoredbyhsabank,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.opriskeurope,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.oprisknorthamerica,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.pacific_northwest_tactical_conference_and_vendor_show_2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.philipsdapim2014amsterdam,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.procureconiw,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.promo_app_forum_solarpraxis,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.provinssirock,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.red_diamond_congress_chicago,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.region_16_conferences,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.revolutionary_thinking_joint_convention_event_app_2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.seedforum2013,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1
com.kitapps.android.builder.siexecforum,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1
com.kitapps.android.builder.skilledtradessummit2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.srmorlando,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1
com.kitapps.android.builder.tacac34changingthegame,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.tgc,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1
com.kitapps.android.builder.thirdworldcongressonadultguardianship,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.vacation.com16thinternationalconferencetradeshow2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.wcoitconferenceexhibition2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.kitapps.android.builder.worcester_tercent,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.omnipress.android.builder.ams2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.omnipress.android.builder.asmc2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.omnipress.android.builder.covd_44th_annual_meeting,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.omnipress.android.builder.cw_solutions_forum_2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.omnipress.android.builder.icopsbeams2014conferenceguide,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.omnipress.android.builder.piancworldcongress2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.omnipress.android.builder.sar2014annualmeeting,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.omnipress.android.builder.sdeconferenceondi2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.omnipress.android.builder.sdeconfonsingaporemath14,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.omnipress.android.builder.sdesiteach1st2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.omnipress.android.builder.sdesiteachk2014,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1
com.wigroup.android.flickpay,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1
